,id,date,user,pc,filename,activity,to_removable_media,from_removable_media,content
,{F3E2-X3MV05YQ-3516SZDT},1/2/2010 7:19,SDH2394,PC-5849,R:\60WBQE7S.doc,File Open,FALSE,TRUE,"D0-CF-11-E0-A1-B1-1A-E1 Ernesztin's brother, L..."
,{I6N1-Z7VL92UY-8715ESKQ},1/2/2010 7:21,SDH2394,PC-5849,R:\0VGILDW8.pdf,File Write,TRUE,FALSE,25-50-44-46-2D ---- Bengali As do many other T...
,{G4X5-J7MH70FV-8936QVSB},1/2/2010 7:22,SDH2394,PC-5849,R:\60WBQE7S.doc,File Copy,FALSE,TRUE,"D0-CF-11-E0-A1-B1-1A-E1 Ernesztin's brother, L..."
,{M2M7-Z5ST21EU-6704NSKO},1/2/2010 7:24,SDH2394,PC-5849,R:\22B5gX4\H8Y96RRE.doc,File Write,TRUE,FALSE,D0-CF-11-E0-A1-B1-1A-E1 After the death of his...
,{R0A9-O9XB25PE-9236MALV},1/2/2010 7:24,SDH2394,PC-5849,R:\SDH2394\7XRCV2N5.pdf,File Copy,TRUE,FALSE,25-50-44-46-2D Although he restored some of th...
,{T1C9-A7BW31ZW-0408TSMQ},1/2/2010 7:25,SDH2394,PC-5849,R:\60WBQE7S.doc,File Copy,FALSE,TRUE,"D0-CF-11-E0-A1-B1-1A-E1 Ernesztin's brother, L..."
,{Y0N7-E6EJ23LX-3486GHCH},1/2/2010 7:26,SDH2394,PC-5849,R:\60WBQE7S.doc,File Write,TRUE,FALSE,D0-CF-11-E0-A1-B1-1A-E1 Kertesz said this was ...
,{D5J4-S3AZ71KE-8915PYTL},1/2/2010 7:27,SDH2394,PC-5849,R:\60WBQE7S.doc,File Delete,FALSE,TRUE,D0-CF-11-E0-A1-B1-1A-E1 Kertesz said this was ...
,{U4B5-M9PO56AC-1319NFVD},1/2/2010 7:27,SDH2394,PC-5849,R:\22B5gX4\R6SQWEDC.jpg,File Open,FALSE,TRUE,FF-D8
,{Z4Z8-G2VU05EV-8184SUQX},1/2/2010 7:27,SDH2394,PC-5849,R:\22B5gX4\FX123ETW.txt,File Copy,TRUE,FALSE,"58-56-36-46 However, the administrative change..."
,{N5L4-D0WZ38MB-3524AOOO},1/2/2010 7:30,SDH2394,PC-5849,R:\22B5gX4\E0P2SLZG.doc,File Write,TRUE,FALSE,"D0-CF-11-E0-A1-B1-1A-E1 Later in 1963, his wor..."
